Relevamiento disposición final Residuos Generales 2016;;;;;;Aperturas 2017;;;;;Formato;Toneladas;;;;
;;;;;;Cierres 2017/2018;;;;;Express;0;;;;
;;;;;Estimado;;;;;;Hiper;13 384;;;;
;;;;;;;;;;;Market;6 749;;;;
;;;;;;;;;;;Maxi;924;;;;
;;;;;;;;;;;Total general;21 057;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Local;Tienda;Formato;Región;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;Total
150;150-Vidt;Market;CAP. FED.;10;10;10;10;10;10;14;13;12;8;9;7;122
151;151-Uriburu;Market;CAP. FED.;3;3;3;3;3;3;2;2;2;4;3;4;34
154;154-Lanús;Market;GRAN BS. AS.;4;4;4;4;4;4;6;4;5;4;3;3;49
156;156-San Nicolás (Tía);Hipermercado;RESTO BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
157;157-Neuquén (Hiper);Hipermercado;NEUQUEN;9;9;9;9;9;9;9;9;9;9;9;9;108
159;159-Corrientes (Hiper);Hipermercado;CORRIENTES;9;9;9;9;9;9;9;9;9;9;9;9;108
161;161-Ushuaia;Hipermercado;TIERRA FUEGO;9;9;9;9;9;9;9;9;9;9;9;9;108
162;162-Trelew (Hiper);Hipermercado;CHUBUT;9;9;9;9;9;9;9;9;9;9;9;9;108
165;165-Pto. Madryn;Market;CHUBUT;5;5;5;5;5;5;5;5;5;5;5;5;60
167;167-Jujuy 1 (Lozano);Market;JUJUY;5;5;5;5;5;5;5;5;5;5;5;5;60
168;168-Jujuy 2 (Lozano);Market;JUJUY;5;5;5;5;5;5;5;5;5;5;5;5;60
171;171-Salta 3 (Lozano);Hipermercado;SALTA;9;9;9;9;9;9;9;9;9;9;9;9;108
175;175-Salta 7 (Lozano);Hipermercado;SALTA;9;9;9;9;9;9;9;9;9;9;9;9;108
176;176-Tucumán 1 (Lozano);Market;TUCUMAN;5;5;5;5;5;5;5;5;5;5;5;5;60
177;177-Tucumán 2 (Lozano);Market;TUCUMAN;5;5;5;5;5;5;5;5;5;5;5;5;60
178;178-Catamarca (Lozano);Hipermercado;CATAMARCA;9;9;9;9;9;9;9;9;9;9;9;9;108
179;179-Puerto Madryn II;Hipermercado;CHUBUT;9;9;9;9;9;9;9;9;9;9;9;9;108
