Code_Magasin|Magasin|DATE|Rayon|Code Rayon|Famille|Code_Famille|Sous Famille|Code Sous Famille|Code EAN|Libellé Article|CodeDémarque|Libellé Démarque|Poids en kg|Descr Poids en kg|Montant Démarque|Qte Démarque
10139|139 - Olavarria|201602|FRUTAS Y VERDURAS|01   2   2|EXOTICAS|01   2   2  02  03|PALTA|01   2   2  02  03  01|2320022000009|PALTA HASS X KG.|Vencimiento|VTO|1000.00|GRM|-429.50|-7.58
10142|142 - Rio Grande|201606|SECO|01   1   4|A GRANEL|01   1   4  07  05|ALFAJORES|01   1   4  07  05  04|7790070960528|(G)ALFAJOR DE ARROZ CHOC BLCO CHOCOARROZ X 22 GRS|Vencimiento|VTO|26.00|GRM|-241.28|-33.00
10053|053 - Neuquen II|201605|BEBIDAS|01   1   0|AGUAS SABORIZADAS|01   1   0  02  02|BOTELLA FAMILIAR SABORIZADAS|01   1   0  02  02  01|7798062541823|AGUA SABORIZADA CERO LIMON S/G LEVITE VDS X 1.5 LT|Roturas|ROT|1500.00|CM3|-16.43|-1.00
10008|008 - La Plata|201602|SECO|01   1   4|A GRANEL|01   1   4  07  05|CHOCOLATES|01   1   4  07  05  02|77940131|(G)TURRON Y MANI ARCOR X 25 GRS.|Roturas|ROT|25.00|GRM|-39.41|-17.00
10143|143 - Rio Gallegos|201603|P.A.S.|01   1   5|JUGOS REFRIGERADOS|01   1   5  01  08|JUGOS REFRIGERADOS|01   1   5  01  08  00|7798085680424|JUGO DE NARANJA EXPRIMIDO CITRIC TETRA X 1.5 LT|Roturas|ROT|1500.00|CM3|-26.05|-1.00
10148|148 - 9 de Julio|201605|SECO|01   1   4|A GRANEL|01   1   4  07  05|ALFAJORES|01   1   4  07  05  04|7798159718503|(G)ALFAJOR CHOCOLATE NEGRO CARREFOUR X 55 GRS|Roturas|ROT|55.00|GRM|-8.60|-2.00
10148|148 - 9 de Julio|201605|CARNICERIA|01   2   4|NOVILLITO|01   2   4  02  04|CICLO III (BIFE)|01   2   4  02  04  08|2301994000006|BIFE ANCHO NOVILLITO|Vencimiento|VTO|1000.00|GRM|-397.86|-5.21
10148|148 - 9 de Julio|201606|SECO|01   1   4|LECHE INFANTIL|01   1   4  21  00|LECHE ETAPA 3 POLVO|01   1   4  21  00  07|7613034612687|LECHE EN POLVO ENTERA CRECIMIENTO 3 NIDO X 800 GRS|Roturas|ROT|800.00|GRM|-66.87|-1.00
10150|150 - Vidt|201603|P.A.S.|01   1   5|HAMBURGUESAS|01   1   5  03  00|NATURALES ( HAMBURGUESAS )|01   1   5  03  00  00|7790360008770|MEDALLON DE CARNE SWIFT KIDS DISNEY X 4 UNI|Vencimiento|VTO|224.00|GRM|-176.39|-6.00
10002|002 - Vicente Lopez|201603|CARNICERIA|01   2   4|TERNERA|01   2   4  02  02|CICLO III (PECHO)|01   2   4  02  02  07|2301966000003|OSOBUCO PREMIUM X KG|Reclasificacion de Stocks|RDS|1000.00|GRM|218.40|6.50
10150|150 - Vidt|201604|SECO|01   1   4|CRACKERS|01   1   4  01  00|TRADICIONALES CRACKERS|01   1   4  01  00  00|7790040887909|GALLETITAS SANDWICH MEDIATARDE 5 X 107 GRS|Roturas|ROT|535.00|GRM|-22.45|-1.00
10050|050 - R. MARTINOLI|201606|SECO|01   1   4|SOPEROS|01   1   4  11  00|AVE MARIA|01   1   4  11  00  02|7622300724283|FIDEOS AVE MARIA TERRABUSI BOLSA X 500 GRS|Roturas|ROT|500.00|GRM|-9.90|-1.00
10150|150 - Vidt|201604|P.A.S.|01   1   5|HUEVOS|01   1   5  02  01|BLANCO|01   1   5  02  01  00|7792335000321|HUEVO BLANCO AVICOPER CARTON X 6 UNI|Vencimiento|VTO|6.00|UNI|-11.96|-1.00
