site;mois;poids
FRA366;2;1,716
FRA400;2;0,857
FRA401;2;2,02
FRA402;2;3,338
FRA403;2;1,804
FRA404;2;3,481
FRA406;2;0,744
FRA407;2;2,082
FRA408;2;1,145
FRA002;3;5,775
FRA003;3;7,92
FRA004;3;3,3
FRA005;3;12,213
FRA006;3;14,069
FRA007;3;5,62
FRA008;3;5,913
FRA009;3;14,708
FRA010;3;3,987
FRA011;3;17,185
FRA012;3;10,71
FRA013;3;6,351
FRA014;3;1,07
FRA015;3;4,606
FRA016;3;13,69
FRA017;3;7,462
FRA018;3;0,158
FRA019;3;4,088
FRA020;3;5,16
FRA021;3;6,758
FRA022;3;4,89
FRA023;3;8,916
FRA024;3;6,028
FRA025;3;8,058
FRA026;3;3,93
FRA027;3;3,375
FRA029;3;16,601
FRA030;3;7,981
FRA031;3;10,667
FRA032;3;11,78
FRA033;3;7,576
FRA034;3;14,465
FRA035;3;20,971
FRA036;3;36,71
FRA037;3;6,16
FRA038;3;7,916
FRA039;3;9,329
FRA041;3;11,69
FRA042;3;10,736
FRA043;3;13,895
FRA044;3;17,134
FRA045;3;14,204
FRA046;3;8,909
FRA047;3;10,555
FRA048;3;3,253
FRA049;3;2,95
FRA050;3;7,51
FRA051;3;17,003
FRA052;3;2,145
FRA053;3;7,315
FRA054;3;10,922
FRA055;3;4,5
FRA056;3;18,7
FRA057;3;10,331
FRA058;3;12,38
FRA059;3;6,743
FRA060;3;9,65
FRA063;3;17,54
FRA064;3;21,687
FRA066;3;6,27
FRA068;3;5,374
FRA070;3;8,96
FRA071;3;5,108
FRA072;3;1,455
FRA073;3;6,756
FRA075;3;4,388
FRA076;3;7,567
FRA078;3;3,739
FRA079;3;3,32
FRA080;3;9,397
FRA082;3;6,83
FRA083;3;0,66
FRA084;3;8,658
FRA085;3;1,27
FRA086;3;1,4
FRA087;3;4,545
FRA088;3;7,416
FRA089;3;5,37
FRA090;3;3,96
FRA091;3;6,27
FRA092;3;10,26
FRA093;3;7,205
FRA095;3;6,02
FRA096;3;2,275
FRA097;3;1,879
FRA098;3;15,379
FRA099;3;5,26
FRA100;3;8,91
FRA102;3;6,31
FRA103;3;5,211
FRA104;3;7,434
FRA105;3;8,698
FRA106;3;8,718
FRA107;3;8,07
FRA108;3;4,265
FRA109;3;4,518
FRA110;3;6,477
FRA111;3;13,881
FRA112;3;12,531
FRA113;3;2,269
FRA114;3;8,52
FRA115;3;29,628
FRA116;3;14,257
FRA117;3;5,115
FRA118;3;5,06
FRA119;3;12,8
FRA120;3;1,622
FRA121;3;1,471
FRA190;3;4,06
FRA195;3;3,018
FRA197;3;3,042
FRA200;3;4,165
FRA201;3;16,86
FRA202;3;8,95
FRA203;3;9,18
FRA204;3;13,25
FRA205;3;8,11
FRA206;3;4,635
FRA207;3;0,57
FRA208;3;9,36
FRA209;3;1,06
FRA210;3;11,35
FRA211;3;1,667
FRA212;3;5,003
FRA215;3;6,923
FRA217;3;4,405
FRA218;3;3,86
FRA250;3;4
FRA251;3;1,3
FRA252;3;3,3
FRA253;3;3,63
FRA254;3;6,27
FRA255;3;4,95
FRA301;3;4,009
FRA302;3;4,46
FRA303;3;0,265
FRA304;3;5,258
FRA305;3;5,107
FRA307;3;2,578
FRA309;3;1,215
FRA310;3;2,682
FRA311;3;5,77
FRA312;3;14,16
FRA313;3;1,637
FRA314;3;1,14
FRA315;3;4,32
FRA316;3;2,007
FRA317;3;3,135
FRA318;3;2,712
FRA319;3;0,572
FRA320;3;2,42
FRA321;3;0,85
FRA322;3;3,356
FRA323;3;1,2
FRA324;3;5,262
FRA325;3;1,407
FRA327;3;4,68
FRA328;3;18,632
FRA329;3;2,86
FRA330;3;5,22
FRA331;3;1,181
FRA332;3;2,557
FRA333;3;2,75
FRA335;3;8,94
FRA336;3;4,247
FRA337;3;7,495
FRA338;3;3,1
FRA339;3;2,87
FRA340;3;1,557
FRA342;3;5,032
FRA344;3;3,523
FRA345;3;3,457
FRA346;3;3,67
FRA347;3;6,711
FRA349;3;5,28
FRA350;3;2,023
FRA351;3;4,547
FRA352;3;12,81
FRA353;3;1,02
FRA354;3;4,125
FRA356;3;4,856
FRA357;3;3,25
FRA358;3;9,46
FRA359;3;3,216
FRA360;3;2,857
FRA363;3;10,06
FRA365;3;1,32
FRA366;3;1,075
FRA400;3;0,894
FRA401;3;1,08
FRA402;3;4,058
FRA403;3;1,326
FRA404;3;4,658
FRA406;3;0,857
FRA407;3;2,765
FRA408;3;1,385
FRA001;4;11,7612
FRA002;4;3,519
FRA003;4;3,345
FRA004;4;3,9204
FRA005;4;10,427
FRA006;4;10,819
FRA007;4;6,26
FRA008;4;6,695
FRA009;4;10,213
FRA010;4;3,9204
FRA011;4;7,128
FRA012;4;7,24
FRA013;4;7,184
FRA014;4;1,532
FRA015;4;3,976
FRA016;4;12,202
FRA017;4;8,064
FRA018;4;0,473
FRA019;4;3,556
FRA020;4;4,846
FRA021;4;6,001
FRA022;4;4,04
FRA023;4;10,1498
FRA024;4;5,4332
FRA025;4;9,545
FRA026;4;6,01
FRA027;4;3,6
FRA028;4;1,7766
FRA029;4;15,965
FRA030;4;5,822
FRA031;4;11,143
FRA032;4;12,24
FRA033;4;10,033
FRA034;4;9,093
FRA035;4;19,742
FRA036;4;31,205
FRA037;4;1,14
FRA038;4;6,462
FRA039;4;3,9204
FRA041;4;10,4
FRA042;4;12,013
FRA043;4;15,17
FRA044;4;16,245
FRA045;4;16,395
FRA046;4;4,455
FRA047;4;8,665
FRA048;4;4,359
FRA049;4;1,677
FRA051;4;8,78
FRA052;4;1,9736
FRA053;4;7,2
FRA054;4;10,89
FRA055;4;3,450000001
FRA056;4;11,18
FRA057;4;7,917
FRA058;4;7,28
FRA059;4;6,379
FRA060;4;10,4
FRA061;4;5,8806
FRA062;4;7,3062
FRA063;4;14,26
FRA064;4;26,765
FRA066;4;6,47
FRA068;4;5,734
FRA070;4;11,019
FRA071;4;4,65
FRA072;4;0,916
FRA073;4;5,21
FRA075;4;5,219
FRA076;4;5,21
FRA078;4;4,36
FRA079;4;2,592
FRA080;4;10,995
FRA082;4;6,16
FRA083;4;0,22
FRA084;4;10,428
FRA085;4;2,8035
FRA086;4;1,82
FRA087;4;6,776
FRA088;4;8,289
FRA089;4;5,66
FRA090;4;4,272
FRA091;4;3,712
FRA092;4;6,155
FRA093;4;7,023
FRA095;4;6,19
FRA096;4;2,529
FRA097;4;2,69
FRA098;4;14,012
FRA099;4;7,28
FRA100;4;7,32
FRA102;4;5,5
FRA103;4;6,015
FRA104;4;3,25
FRA105;4;5,083
FRA106;4;6,676
FRA107;4;5,457
FRA108;4;4,72
FRA109;4;4,45
FRA110;4;4,46
FRA111;4;5,91
FRA112;4;2,673
FRA113;4;2,809
FRA114;4;8,11
FRA115;4;28,33
FRA116;4;11,073
FRA117;4;4,41
FRA118;4;5,38
FRA119;4;12,8304
FRA120;4;1,145
FRA121;4;1,7
FRA186;4;0,89
FRA190;4;3,78
FRA195;4;4,71
FRA197;4;3,873
FRA200;4;5,8374
FRA201;4;16,28
FRA202;4;7,31
FRA203;4;1,9602
FRA204;4;13,15
FRA205;4;9,73
FRA206;4;3,518
FRA207;4;0,648
FRA208;4;9,7
FRA209;4;1,865
FRA210;4;11,17
FRA211;4;1,891
FRA212;4;2,579
FRA215;4;7,164
FRA217;4;5,755
FRA218;4;2,68
FRA250;4;1,12
FRA251;4;1,15
FRA252;4;6,237
FRA253;4;3,564
FRA254;4;6,5934
FRA255;4;6,237
FRA301;4;4,295
FRA302;4;5,75
FRA303;4;0
FRA304;4;4,716
FRA305;4;5,174
FRA306;4;0,45
FRA307;4;3
FRA309;4;1,065
FRA310;4;3,0294
FRA311;4;4,584
FRA312;4;14,03
FRA313;4;1,274
FRA314;4;1,44
FRA315;4;5,938
FRA316;4;1,9602
FRA317;4;2,485
FRA318;4;3,945
FRA320;4;2,16
FRA321;4;1,4256
FRA322;4;3,349
FRA323;4;6,4152
FRA324;4;2,2842
FRA325;4;3,232
FRA327;4;3,9204
FRA328;4;18,749
FRA329;4;3,54
FRA330;4;6,132
FRA332;4;3,573
FRA333;4;2,48
FRA336;4;4,8114
FRA337;4;4,2768
FRA338;4;2,94
FRA339;4;5,3
FRA340;4;5,011
FRA342;4;8,044
FRA344;4;1,27
FRA345;4;2,163
FRA346;4;3,55
FRA347;4;4,391
