;SUEZ;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;dec-16;
Market;Winkel / Magasin;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;
640;640 JAMBES       ;1 553;1 609;2 524;2 314;2 403;3 943;5 093;5 392;8 258;4 000;6 663;6 872;
644;644 HAINE ST PIER;4 909;3 632;3 635;4 193;5 007;4 354;4 516;4 929;5 136;4 542;2 317;3 643;
645;645 GOSSELIES    ;5 343;5 680;4 978;4 671;6 201;8 458;4 844;6 635;6 097;4 828;3 416;6 523;
647;647 MALMEDY      ;1 963;2 233;2 659;2 398;3 455;3 340;2 347;4 795;4 395;4 400;3 185;3 023;
604;604 GENK;4 110;5 422;5 577;4 922;3 933;5 556;5 296;5 103;5 634;4 083;4 260;5 360;
653;653 ST ELOOIS VIJVE ;5 288;3 969;4 375;4 511;5 331;4 851;4 478;4 990;4 197;3 540;5 317;5 029;
654;654 FLEMALLE     ;5 154;3 445;3 251;4 232;3 724;3 202;4 231;5 022;4 508;2 599;5 640;3 863;
659;659 STROMBEEK BEVER ;4 080;3 645;4 450;4 830;4 286;4 903;4 395;3 787;4 096;2 466;4 310;5 160;
660;660 BORSBEEK        ;10 374;5 678;1 440;12 131;5 434;9 117;9 829;11 671;12 529;9 353;10 323;12 683;
661;661 HERSTAL      ;15 465;10 891;12 138;11 078;10 299;4 180;9 793;7 979;8 382;6 709;7 295;9 165;
662;662 DROGENBOS       ;13 940;13 760;12 020;12 340;13 574;14 200;11 815;13 560;13 920;13 040;11 720;14 670;
664;664 OOSTAKKER       ;11 661;6 758;7 473;6 191;7 833;9 070;7 514;7 831;9 317;5 605;8 872;8 776;
667;667 BURCHT          ;10 947;4 581;1 080;10 272;10 607;9 744;10 232;9 644;12 598;10 245;9 143;15 994;
668;668 BOMEREE      ;11 312;13 529;10 287;8 889;12 000;14 738;11 229;11 221;11 219;10 603;7 065;10 307;
669;669 KRAAINEM        ;11 280;8 532;7 420;12 900;13 449;15 427;16 031;14 366;12 778;9 500;11 630;14 300;
674;674 ZEMST           ;12 858;9 774;5 440;11 076;12 183;13 694;16 603;13 129;13 333;9 472;11 303;16 258;
675;675 KORBEEK-LO;3 020;3 540;3 874;4 650;3 321;3 625;3 720;4 454;2 890;4 988;4 708;3 328;
678;678 FROYENNES       ;7 093;5 986;5 977;6 264;8 491;7 496;9 019;7 798;7 973;4 904;7 239;7 144;
686;686 MARCHE       ;2 862;2 086;3 275;2 439;3 135;3 054;2 454;2 953;2 451;2 753;4 235;3 959;
691;605 KOKSIJDE;2 642;1 849;1 991;1 676;555;4 494;5 674;6 138;5 713;3 237;3 328;3 912;
694;694 ARLON;5 680;5 935;8 125;3 120;6 160;6 094;7 322;5 795;6 435;1 072;4 063;2 497;
;TOTAL kg;335 446;262 610;243 216;287 149;291 410;315 825;332 576;318 644;338 705;258 244;271 428;334 488;3 589 741
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;MARKET ;1 858 279;kg;;;;;;;;;;;
;HYPER;3 589 741;kg;;;;;;;;;;;
;TOTAL;5 448 020;kg;;;;;;;;;;;
